Name,k_wins,sb_wins,d_wins,hd_strk,lg_stk,bd_strk,st_land,st_attemp,tk_land,tk_attemp,strksL_perm,strksAb_perm,takedAv_per,subAvg_perm,strk_d,take_d,kd_rat,av_time,stand_stk,clinch_stk,grnd_stk
Megan Anderson,4,2,2,17,0,12,29,67,,,1.81,3.12,0.00,0.00,35,50,0.00,08:01,22,7,0
Leah Letson,0,0,0,40,14,19,73,179,,1,4.87,3.80,0.00,0.00,64,10,0.00,15:00,66,6,1
Julija Stoliarenko,0,0,0,39,11,7,57,158,,4,3.80,4.87,0.00,1.00,59,10,0.00,15:00,50,5,2
Germaine de Randamie,3,0,4,89,47,84,220,458,,1,3.15,2.77,0.00,0.00,67,89,0.22,11:37,126,94,0
Sara McMann,1,5,5,119,18,39,176,438,,34,2.20,3.54,3.18,0.56,48,67,0.19,08:01,70,41,65
Amanda Nunes,12,3,2,253,102,62,417,808,11,26,4.65,3.21,1.84,0.67,57,80,0.67,08:10,296,22,99
Raquel Pennington,1,3,5,308,67,112,487,1027,11,39,3.42,3.31,1.16,0.95,63,65,0.00,14:15,281,157,49
Julianna Peña,3,4,2,96,11,36,143,273,9,17,2.95,1.20,2.79,1.24,44,22,0.00,09:41,14,41,88
Bethe Correia,2,0,8,238,87,81,406,902,3,12,4.34,3.87,0.48,0.00,59,86,0.00,11:42,336,67,3
Sarah Moras,2,2,1,99,7,10,116,312,3,18,1.85,3.18,0.95,0.95,45,38,0.00,12:34,61,13,42
Marion Reneau,5,3,1,316,51,78,445,1067,2,3,3.46,2.93,0.35,1.05,65,51,0.00,12:51,297,70,78
Holly Holm,8,0,4,216,109,128,453,1327,6,19,2.82,2.80,0.56,0.09,58,78,0.19,17:51,376,53,24
Lina Lansberg,4,0,4,82,25,111,218,393,,,3.63,5.31,0.50,0.25,46,33,0.00,12:00,88,124,6
Ketlen Vieira,2,4,4,115,9,18,142,384,8,14,2.62,3.69,2.21,0.83,56,92,0.00,13:34,86,36,20
Irene Aldana,5,2,2,268,75,38,381,876,2,4,6.35,7.08,0.50,0.00,61,95,0.00,15:00,329,30,22
Gina Mazany,2,1,2,39,16,35,90,181,7,9,2.72,2.84,3.18,0.00,50,20,0.00,08:16,50,32,8
Tonya Evinger,8,7,4,15,11,15,41,101,1,5,2.67,9.37,0.98,0.00,42,29,0.00,07:41,31,10,0
Yana Kunitskaya,,,,63,54,58,175,345,,,5.24,4.01,3.14,0.45,51,0.,11:08,07:41,31,10,0
Amanda Lemos,,,,43,11,14,68,106,,,8.63,12.81,1.90,0.00,47,0.,07:53,07:41,31,10,0
Talita Bernardo,0,4,2,78,34,16,128,277,4,24,2.85,3.65,2.00,0.67,58,50,0.00,14:58,103,6,19
Aspen Ladd,5,1,1,62,0,14,76,133,,,6.92,4.55,1.37,0.00,38,10,0.00,05:30,9,15,52
Macy Chiasson,2,2,1,26,2,21,49,99,,6,5.44,3.67,0.00,3.33,48,10,3.33,04:30,30,13,6
Liz Carmouche,6,2,4,163,80,53,296,516,22,37,2.49,3.72,3.16,0.51,61,68,0.00,13:12,160,45,91
Alexis Davis,2,8,9,188,142,90,420,1000,6,17,3.46,5.00,0.87,1.11,55,35,0.00,12:08,301,77,42
Jessica Eye,3,1,9,320,102,91,513,1389,5,10,3.63,3.43,0.53,0.74,60,61,0.00,14:09,421,73,19
Roxanne Modafferi,4,5,13,211,17,25,253,846,3,21,3.98,6.83,0.94,0.24,56,42,0.00,15:53,206,14,33
Joanna Jedrzejczyk,4,1,10,647,358,340,1345,2899,2,3,6.07,2.77,0.14,0.00,65,81,0.07,18:29,1089,240,16
Lauren Murphy,7,0,3,226,74,35,335,821,6,20,3.73,3.81,1.00,0.00,61,63,0.00,14:59,201,55,79
Paige VanZant,2,2,3,196,37,79,312,600,8,24,3.40,2.63,1.31,0.98,43,35,0.16,11:29,106,104,102
Ashlee Evans-Smith,3,0,3,211,65,116,392,1098,5,28,4.86,4.39,1.30,0.00,58,73,0.00,11:31,265,88,39
Maryna Moroz,1,5,2,177,30,90,297,1159,1,14,3.25,3.87,0.33,0.49,55,47,0.00,13:04,259,14,24
Valentina Shevchenko,4,7,5,259,103,54,416,811,12,36,3.36,2.53,2.06,0.36,61,74,0.00,17:42,253,48,115
Justine Kish,0,2,4,133,65,61,259,517,4,13,4.32,4.18,1.00,0.25,58,56,0.00,15:00,211,35,13
Katlyn Chookagian,2,1,8,223,64,80,367,1182,,13,4.08,4.21,0.00,0.17,63,63,0.17,15:00,332,25,10
JJ Aldrich,2,0,5,190,24,34,248,644,1,6,3.65,4.22,0.22,0.00,62,58,0.00,13:36,197,44,7
Joanne Calderwood,5,1,37,232,155,104,491,975,,17,5.86,4.14,1.61,0.72,50,54,0.54,10:29,358,82,51
Veronica Macedo,1,1,3,51,7,12,70,155,1,2,1.93,3.70,0.83,0.41,38,50,0.00,12:04,39,17,14
Lucie Pudilova,2,2,4,283,39,43,365,941,,3,4.87,4.21,0.00,0.80,54,65,0.40,15:00,274,52,39
Ji Yeon Kim,1,3,4,166,27,41,234,746,,1,3.90,4.78,0.00,0.00,58,33,0.00,15:00,197,37,0
Mara Romero Borella,3,4,4,62,39,10,111,299,2,9,3.37,3.16,1.82,0.46,71,50,0.00,10:58,94,6,11
Kalindra Faria,7,5,6,38,4,9,51,91,2,3,2.23,1.44,1.31,0.66,45,20,0.00,07:37,20,8,23
Poliana Botelho,6,0,1,52,9,21,82,138,1,1,4.03,2.51,0.74,0.00,50,89,0.74,06:47,23,52,7
Jessica-Rose Clark,2,2,5,127,39,41,207,411,4,6,4.60,4.13,1.33,0.67,62,57,0.00,15:00,164,19,24
Wu Yanan,6,1,2,15,12,13,40,87,1,3,2.11,2.89,0.79,0.79,49,38,0.00,09:30,24,15,1
Nadia Kassem,4,0,1,25,10,17,52,105,,1,3.47,3.00,0.00,6.00,36,43,0.00,15:00,36,11,5
Nicco Montano,2,0,3,138,35,13,186,456,3,6,7.44,5.28,1.80,0.60,67,78,0.00,25:00,161,10,15
Melinda Fábián,0,4,0,73,25,23,121,290,,1,4.03,4.00,0.00,0.00,63,10,0.50,15:00,98,23,0
Montana De La Rosa,,,,69,4,10,83,201,,,3.46,2.29,1.25,3.13,54,0.,07:59,15:00,98,23,0
Rachael Ostovich,0,2,2,31,5,17,53,123,1,5,2.32,3.28,3.28,1.31,60,10,0.00,07:37,47,4,2
Shana Dobson,,,,53,17,32,102,301,,,4.46,4.06,0.66,0.00,64,0.,11:27,07:37,47,4,2
Gillian Robertson,,,,33,1,1,35,82,,,1.55,2.34,3.97,1.99,56,0.,05:40,07:37,47,4,2
Priscila Cachoeira,4,0,4,56,6,15,77,246,,,3.15,8.27,0.00,0.00,35,69,0.00,12:13,70,7,0
Lauren Mueller,1,0,4,40,8,27,75,199,2,3,3.95,6.32,1.58,0.00,65,90,0.00,09:30,66,8,1
Andrea Lee,2,4,3,64,45,58,167,302,3,7,5.57,3.00,1.50,1.00,70,73,0.00,15:00,113,37,17
Molly McCann,4,0,3,91,13,13,117,230,,11,5.30,4.17,1.36,1.36,68,50,0.00,11:03,100,12,5
Sijara Eubanks,2,0,2,95,15,22,132,388,2,8,4.40,2.57,2.50,0.00,69,83,0.50,15:00,105,6,21
Jennifer Maia,4,4,7,63,13,26,102,232,,,3.40,4.17,0.00,0.00,38,33,0.00,15:00,79,21,2
Mayra Bueno Silva,0,0,0,9,0,2,11,32,,,2.24,2.24,0.00,3.05,39,67,0.00,04:55,5,0,6
Maycee Barber,4,2,1,80,21,22,123,207,1,5,8.18,7.85,1.00,0.00,47,10,0.00,07:31,59,41,23
Antonina Shevchenko,2,0,5,41,7,18,66,134,2,2,4.40,3.13,2.00,0.00,69,83,0.00,15:00,46,14,6
Ariane Lipski,6,2,3,29,5,19,53,154,1,1,3.53,5.67,1.00,0.00,51,67,0.00,15:00,42,10,1
Sabina Mazo,2,0,4,21,24,19,64,144,,,4.27,3.73,0.00,0.00,71,89,0.00,15:00,61,2,1
Jessica Andrade,6,7,6,701,63,256,1020,1977,33,56,6.58,5.04,3.20,0.48,52,75,0.19,11:04,609,228,183
Claudia Gadelha,2,7,7,364,12,54,430,1007,31,69,3.23,4.69,3.72,0.90,57,59,0.11,14:47,320,56,54
Nina Ansaroff,4,2,3,256,121,74,451,961,2,5,5.09,3.31,0.34,0.68,56,81,0.00,14:47,383,43,25
Carla Esparza,3,4,7,177,29,37,243,632,25,70,2.20,3.07,3.40,0.41,53,40,0.00,13:47,130,40,73
Rose Namajunas,1,6,2,291,26,64,381,913,16,27,3.72,3.72,2.34,0.88,60,45,0.29,12:49,273,36,72
Jessica Penne,2,7,3,91,13,56,160,455,5,27,3.06,8.59,1.43,0.00,48,20,0.00,13:05,117,29,14
Randa Markos,0,3,5,332,51,37,420,1016,13,57,2.92,3.17,1.67,0.31,62,54,0.00,13:05,255,72,93
Felice Herrig,1,4,9,225,41,103,369,1008,7,26,3.69,4.89,1.20,0.90,50,76,0.00,12:31,254,79,36
Tecia Torres,0,1,9,359,119,111,589,1205,7,42,4.18,3.23,0.75,0.11,64,50,0.11,14:05,474,79,36
Alex Chambers,4,1,1,78,28,29,135,250,7,17,2.97,5.10,2.31,0.99,51,53,0.00,09:06,88,32,15
Angela Hill,3,0,5,370,107,149,626,1226,3,5,5.58,5.29,0.40,0.00,63,73,0.27,12:28,453,155,18
Michelle Waterson,3,9,4,167,68,103,338,588,10,20,4.04,3.76,2.15,1.25,52,63,0.00,11:58,186,89,63
Cortney Casey,3,3,2,425,125,61,611,1583,3,10,4.80,4.73,0.35,0.47,53,39,0.00,12:43,459,77,75
Jessica Aguilar,3,7,10,168,58,88,314,620,4,16,4.93,7.19,0.94,0.24,54,50,0.00,12:44,194,96,24
Karolina Kowalkiewicz,1,2,10,421,83,158,662,1684,1,7,5.52,5.05,0.13,0.00,57,84,0.00,13:20,448,187,27
Tatiana Suarez,2,3,2,125,16,30,171,232,18,22,4.75,0.72,7.50,0.83,42,10,0.00,09:00,19,9,143
Amanda Cooper,1,2,1,134,17,23,174,394,3,13,3.55,3.20,1.53,1.83,52,29,0.00,08:11,112,7,55
Alexa Grasso,4,0,6,119,52,44,215,505,1,2,4.50,3.08,0.31,0.31,68,64,0.00,11:56,160,45,10
Ashley Yoder,0,4,1,101,15,44,160,456,4,10,2.67,3.65,1.25,0.75,52,64,0.25,15:00,125,25,10
Cynthia Calvillo,2,3,39,133,49,77,259,651,5,19,3.87,3.50,1.57,2.02,64,69,0.00,11:09,220,14,25
Syuri Kondo,1,0,5,160,25,38,223,508,,,7.30,8.31,0.00,0.00,63,10,0.00,10:11,207,16,0
Jodie Esquibel,1,0,5,91,11,44,146,365,,3,4.87,8.50,0.00,0.00,52,88,0.00,15:00,130,12,4
Emily Whitmire,0,0,3,42,14,9,65,203,1,3,3.57,2.96,1.65,0.82,58,75,0.00,06:04,49,4,12
Polyana Viana,4,6,0,64,27,44,135,321,2,7,3.99,3.34,0.89,1.33,55,50,0.00,11:17,106,15,14
Maia Stevenson,3,2,1,1,2,3,6,11,1,1,1.57,3.13,3.91,0.00,33,50,0.00,03:50,4,2,0
Mackenzie Dern,,,,53,17,15,85,175,,,4.87,3.32,0.86,1.72,65,0.,08:44,03:50,4,2,0
Weili Zhang,9,7,47,96,61,28,185,394,1,13,5.49,2.17,1.78,0.89,63,10,0.00,11:14,117,13,55
Marina Rodriguez,5,1,4,84,43,51,178,344,,1,5.93,3.53,0.00,0.00,57,67,0.50,15:00,112,54,12
Hannah Cifers,5,0,3,31,27,50,108,224,,,4.91,6.59,0.00,0.00,46,80,0.68,11:01,71,32,5
